train_accuracy,train_loss,test_accuracy,test_loss
0.6193860173225403,0.9783104658126831,0.6752312183380127,0.9335849285125732
0.6193860173225403,0.9563259482383728,0.6752312183380127,0.8479474782943726
0.6193860173225403,0.9351213574409485,0.6752312183380127,0.8273105621337891
0.6193860173225403,0.9342129826545715,0.6752312183380127,0.8496917486190796
0.6193860173225403,0.9304406046867371,0.6752312183380127,0.8607453107833862
0.6193860173225403,0.9154115319252014,0.6752312183380127,0.8466496467590332
0.6193860173225403,0.922757089138031,0.6752312183380127,0.8470315933227539
0.6191017627716064,0.9231977462768555,0.6752312183380127,0.843718409538269
0.6191017627716064,0.9100326299667358,0.6752312183380127,0.8323685526847839
0.6191017627716064,0.903710663318634,0.6752312183380127,0.8298006653785706
0.6191017627716064,0.8993091583251953,0.6752312183380127,0.8238080143928528
0.6191017627716064,0.880664050579071,0.6752312183380127,0.7941842079162598
0.6191017627716064,0.8780040144920349,0.6752312183380127,0.7815443873405457
0.6191017627716064,0.8447412848472595,0.6752312183380127,0.7602995038032532
0.6446844935417175,0.8446821570396423,0.6937307119369507,0.7695320248603821
0.652927815914154,0.8109828233718872,0.7112024426460266,0.7338218688964844
0.6537805795669556,0.8137971758842468,0.7235354781150818,0.7250292897224426
0.6560545563697815,0.7848224639892578,0.6916752457618713,0.710647702217102
0.6444002389907837,0.7858533263206482,0.6885919570922852,0.7107079029083252
0.6688459515571594,0.762812614440918,0.7297019362449646,0.6832788586616516
0.6773735284805298,0.7473544478416443,0.7379239201545715,0.6711092591285706
0.6725412011146545,0.7412558197975159,0.7163411974906921,0.6641151905059814
0.6907333731651306,0.7191107273101807,0.7430626749992371,0.6429345011711121
0.6913018822669983,0.718218207359314,0.7533401846885681,0.6350971460342407
0.704945981502533,0.6955190896987915,0.7636176943778992,0.6162934303283691
0.7106310129165649,0.6895048022270203,0.7667009234428406,0.6071200370788574
0.714042067527771,0.6804662942886353,0.7738951444625854,0.5855705142021179
0.7222853899002075,0.6599429845809937,0.7934224009513855,0.5630327463150024
0.7245594263076782,0.659598171710968,0.780061662197113,0.5599445104598999
0.7291074395179749,0.6453772783279419,0.7872558832168579,0.5419362187385559
0.734508216381073,0.6343675851821899,0.7903391718864441,0.5347934365272522
0.7328027486801147,0.6327874660491943,0.7821171879768372,0.5353766679763794
0.7421830296516418,0.6146672368049622,0.7954779267311096,0.5244261622428894
0.7455940842628479,0.6069802045822144,0.7903391718864441,0.5268474817276001
0.7455940842628479,0.6033015251159668,0.780061662197113,0.5297620892524719
0.756395697593689,0.5858798027038574,0.7944501638412476,0.5197176933288574
0.7578169703483582,0.583902895450592,0.7965056300163269,0.5247947573661804
0.7498579025268555,0.5795304179191589,0.7852004170417786,0.5269200205802917
0.7674815058708191,0.5590410828590393,0.797533392906189,0.5170454382896423
0.7725980877876282,0.5544352531433105,0.798561155796051,0.513894259929657
0.7546901702880859,0.5646954774856567,0.7738951444625854,0.5226374864578247
0.776861846446991,0.5390141010284424,0.7954779267311096,0.5120446085929871
0.7794201374053955,0.5273621678352356,0.7944501638412476,0.5125871896743774
0.7723138332366943,0.5294950604438782,0.7841726541519165,0.5089076161384583
0.7927799820899963,0.5065538287162781,0.8006166219711304,0.5102459192276001
0.7907902002334595,0.506598174571991,0.7954779267311096,0.5312948226928711
0.7839681506156921,0.5077906847000122,0.7954779267311096,0.5091626048088074
0.8030130863189697,0.48393091559410095,0.7995889186859131,0.5237476825714111
0.8015918135643005,0.48601850867271423,0.8026721477508545,0.5291789174079895
0.7862421870231628,0.5068725347518921,0.7769784331321716,0.5530462861061096
0.8021603226661682,0.4846877157688141,0.7944501638412476,0.5261685252189636
0.8021603226661682,0.46360254287719727,0.798561155796051,0.5398100018501282
0.7924957275390625,0.48688068985939026,0.7646453976631165,0.5694388747215271
0.7913587093353271,0.4903644323348999,0.780061662197113,0.5274120569229126
0.7907902002334595,0.493137001991272,0.8016443848609924,0.574650228023529
